Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
SUSE Enterprise Linux Security Update for ruby2.5 (SUSE-SU-2025:4264-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4264-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023374.html);"#table cols=""3""
Package Installed_Version Required_Version
ruby2.5-stdlib 2.5.9-150700.22.16.x86__64 2.5.9-150700.24.3.1
libruby2__5-2__5 2.5.9-150700.22.16.x86__64 2.5.9-150700.24.3.1
ruby2.5 2.5.9-150700.22.16.x86__64 2.5.9-150700.24.3.1
"
SUSE Enterprise Linux Security Update for sssd (SUSE-SU-2025:4183-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4183-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023319.html);"#table cols=""3""
Package Installed_Version Required_Version
libsss__nss__idmap0 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
sssd-ad 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
libsss__certmap0 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
sssd-tools 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
sssd 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
sssd-krb5-common 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
libsss__idmap0 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
sssd-ldap 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
python3-sssd-config 2.9.3-150700.9.6.2.x86__64 2.9.3-150700.9.9.1
"
SUSE Enterprise Linux Security Update for binutils (SUSE-SU-2025:4096-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4096-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023286.html);"#table cols=""3""
Package Installed_Version Required_Version
libctf-nobfd0 2.43-150100.7.52.1.x86__64 2.45-150100.7.57.1
binutils 2.43-150100.7.52.1.x86__64 2.45-150100.7.57.1
libctf0 2.43-150100.7.52.1.x86__64 2.45-150100.7.57.1
"
SUSE Enterprise Linux Security Update for the Linux Kernel (SUSE-SU-2025:4057-1);INFRA;Armando Junior;node2;5;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4057-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023254.html);"#table cols=""3""
Package Installed_Version Required_Version
kernel-default 6.4.0-150600.23.17.1.x86__64 6.4.0-150700.53.22.1
kernel-default 6.4.0-150700.53.19.1.x86__64 6.4.0-150700.53.22.1
"
SUSE Enterprise Linux Security Update for tiff (SUSE-SU-2025:3957-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3957-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023161.html);"#table cols=""3""
Package Installed_Version Required_Version
libtiff6 4.7.0-150600.3.18.1.x86__64 4.7.1-150600.3.23.1
"
SUSE Enterprise Linux Security Update for tiff (SUSE-SU-2025:3941-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3941-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023150.html);"#table cols=""3""
Package Installed_Version Required_Version
libtiff5 4.0.9-150000.45.55.1.x86__64 4.0.9-150000.45.60.1
"
SUSE Enterprise Linux Security Update for xorg-x11-server (SUSE-SU-2025:3865-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3865-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023092.html);"#table cols=""3""
Package Installed_Version Required_Version
xorg-x11-server 21.1.15-150700.5.6.1.x86__64 21.1.15-150700.5.11.1
xorg-x11-server-extra 21.1.15-150700.5.6.1.x86__64 21.1.15-150700.5.11.1
xorg-x11-server-Xvfb 21.1.15-150700.5.6.1.x86__64 21.1.15-150700.5.11.1
"
SUSE Enterprise Linux Security Update for xen (SUSE-SU-2025:3793-1);INFRA;Armando Junior;node2;5;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3793-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023000.html);"#table cols=""3""
Package Installed_Version Required_Version
xen-libs 4.20.1__04-150700.3.11.1.x86__64 4.20.1__06-150700.3.14.1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2025:3753-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3753-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022985.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.13.1.x86__64 3.4.4-150600.3.18.1
libsoup-lang 3.4.4-150600.3.13.1.noarch 3.4.4-150600.3.18.1
"
SUSE Enterprise Linux Security Update for the Linux Kernel (SUSE-SU-2025:03601-1);INFRA;Armando Junior;node2;4;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:03601-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022903.html);"#table cols=""3""
Package Installed_Version Required_Version
kernel-default 6.4.0-150600.23.17.1.x86__64 6.4.0-150700.53.19.1
"
