Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
Oracle Java SE Critical Patch Update - October 2021 (CPUOCT2021);BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - October 2021 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuoct2021.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - April 2023 (CPUAPR2023);BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - April 2023 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuapr2023.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - January 2023 (CPUJAN2023);BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2023 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujan2023.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java SE Critical Patch Update - April 2020;BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Java SE CPU - April 2020 

Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.(The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuapr2020.html#AppendixJAVA
<P>
Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java SE Critical Patch Update - July 2020(CPUJUL2020);BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Java SE CPU - July 2020 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujul2020.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - July 2023 (CPUJUL2023);BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - July2023 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujul2023.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java SE Critical Patch Update - January 2020;BD;Armando Junior;srv10las099;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Java SE CPU - January 2020 and Oracle Doc ID 2617684.1 to obtain more details.

Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.(The vendor has released updates to resolve these issues. 
<P>
https://support.oracle.com/rs?type=doc&id=2617684.1
<P>
Updates for Java 7 are no longer available to the public. Oracle offers updates to Java 7 only for customers who have purchased Java support or have Oracle products that require Java 7.)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - July 2025 (CPUJUL2025);BD;Armando Junior;srv10las100;5;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - July 2025 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujul2025.html)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - January 2026 (CPUJAN2026);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2026 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujan2026.html)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - April 2024 (CPUAPR2024);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - April 2024 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuapr2024.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
